USC00462523,"DUNMORE 1 N, WV US",3/3/2023,,,,,0,0,0,56,30,33,
USC00462523,"DUNMORE 1 N, WV US",3/4/2023,,,,,0.69,0,0,46,33,35,
USC00462523,"DUNMORE 1 N, WV US",3/5/2023,,,,,0,0,0,44,21,21,
USC00462523,"DUNMORE 1 N, WV US",3/6/2023,,,,,0,0,0,55,21,22,
USC00462523,"DUNMORE 1 N, WV US",3/7/2023,,,,,0.02,0,0,65,21,46,
USC00462523,"DUNMORE 1 N, WV US",3/8/2023,,,,,0,0,0,46,19,19,
USC00462523,"DUNMORE 1 N, WV US",3/9/2023,,,,,0,0,0,45,16,16,
USC00462523,"DUNMORE 1 N, WV US",3/10/2023,,,,,0.02,0,0,59,16,34,
USC00462523,"DUNMORE 1 N, WV US",3/11/2023,,,,,0.18,0.8,0,45,28,28,
USC00462523,"DUNMORE 1 N, WV US",3/12/2023,,,,,0,0,0,29,21,24,
USC00462523,"DUNMORE 1 N, WV US",3/13/2023,,,,,0.15,2.1,1,34,21,28,
USC00462523,"DUNMORE 1 N, WV US",3/14/2023,,,,,0.07,1.2,1,37,23,24,
USC00462523,"DUNMORE 1 N, WV US",3/15/2023,,,,,0.01,0.2,1,26,20,21,
USC00462523,"DUNMORE 1 N, WV US",3/16/2023,,,,,0,0,0,41,17,19,
USC00462523,"DUNMORE 1 N, WV US",3/17/2023,,,,,0,0,0,60,17,27,
USC00462523,"DUNMORE 1 N, WV US",3/18/2023,,,,,0.14,0,0,47,27,27,
USC00462523,"DUNMORE 1 N, WV US",3/19/2023,,,,,0,0,0,41,14,14,
USC00462523,"DUNMORE 1 N, WV US",3/20/2023,,,,,0,0,0,30,8,8,
USC00462523,"DUNMORE 1 N, WV US",3/21/2023,,,,,0,0,0,49,7,12,
USC00462523,"DUNMORE 1 N, WV US",3/22/2023,,,,,0,0,0,58,11,33,
USC00462523,"DUNMORE 1 N, WV US",3/23/2023,,,,,0,0,0,53,32,44,
USC00462523,"DUNMORE 1 N, WV US",3/24/2023,,,,,0.03,0,0,72,44,47,
USC00462523,"DUNMORE 1 N, WV US",3/25/2023,,,,,0.57,0,0,56,46,48,
USC00462523,"DUNMORE 1 N, WV US",3/26/2023,,,,,0.16,0,0,69,38,40,
USC00462523,"DUNMORE 1 N, WV US",3/27/2023,,,,,0,0,0,65,28,29,
USC00462523,"DUNMORE 1 N, WV US",3/28/2023,,,,,0,0,0,67,28,40,
USC00462523,"DUNMORE 1 N, WV US",3/29/2023,,,,,0,0,0,55,28,30,
USC00462523,"DUNMORE 1 N, WV US",3/30/2023,,,,,0,0,0,55,26,26,
USC00462523,"DUNMORE 1 N, WV US",3/31/2023,,,,,0,0,0,56,25,27,
USC00462523,"DUNMORE 1 N, WV US",4/1/2023,,,,,1.21,0,0,56,27,49,
USC00462523,"DUNMORE 1 N, WV US",4/2/2023,,,,,0.1,0,0,67,38,38,
USC00462523,"DUNMORE 1 N, WV US",4/3/2023,,,,,0,0,0,47,24,24,
USC00462523,"DUNMORE 1 N, WV US",4/4/2023,,,,,0,0,0,69,23,34,
USC00462523,"DUNMORE 1 N, WV US",4/5/2023,,,,,0,0,0,79,34,40,
USC00462523,"DUNMORE 1 N, WV US",4/6/2023,,,,,0.09,0,0,81,40,50,
USC00462523,"DUNMORE 1 N, WV US",4/7/2023,,,,,0,0,0,72,45,45,
USC00462523,"DUNMORE 1 N, WV US",4/8/2023,,,,,0.19,0,0,45,28,28,
USC00462523,"DUNMORE 1 N, WV US",4/9/2023,,,,,0,0,0,49,21,21,
USC00462523,"DUNMORE 1 N, WV US",4/10/2023,,,,,0,0,0,60,20,22,
USC00462523,"DUNMORE 1 N, WV US",4/11/2023,,,,,0,0,0,64,21,25,
USC00462523,"DUNMORE 1 N, WV US",4/12/2023,,,,,0,0,0,69,24,37,
USC00462523,"DUNMORE 1 N, WV US",4/13/2023,,,,,0,0,0,74,30,31,
USC00462523,"DUNMORE 1 N, WV US",4/14/2023,,,,,0,0,0,81,30,34,
USC00462523,"DUNMORE 1 N, WV US",4/15/2023,,,,,0.11,0,0,70,33,47,
USC00462523,"DUNMORE 1 N, WV US",4/16/2023,,,,,0,0,0,69,40,40,
USC00462523,"DUNMORE 1 N, WV US",4/17/2023,,,,,0.4,0,0,75,31,31,
USC00462523,"DUNMORE 1 N, WV US",4/18/2023,,,,,0,0,0,52,29,39,
USC00462523,"DUNMORE 1 N, WV US",4/19/2023,,,,,0,0,0,63,29,29,
USC00462523,"DUNMORE 1 N, WV US",4/20/2023,,,,,0,0,0,75,28,35,
USC00462523,"DUNMORE 1 N, WV US",4/21/2023,,,,,0,0,0,81,34,38,
USC00462523,"DUNMORE 1 N, WV US",4/22/2023,,,,,0,0,0,78,37,59,
USC00462523,"DUNMORE 1 N, WV US",4/23/2023,,,,,0.32,0,0,59,29,31,
USC00462523,"DUNMORE 1 N, WV US",4/24/2023,,,,,0,0,0,51,23,23,
USC00462523,"DUNMORE 1 N, WV US",4/25/2023,,,,,0,0,0,53,20,21,
USC00462523,"DUNMORE 1 N, WV US",4/26/2023,,,,,0,0,0,57,20,30,
USC00462523,"DUNMORE 1 N, WV US",4/27/2023,,,,,0,0,0,64,28,28,
USC00462523,"DUNMORE 1 N, WV US",4/28/2023,,,,,0.58,0,0,67,27,49,
USC00462523,"DUNMORE 1 N, WV US",4/29/2023,,,,,0.48,0,0,58,47,47,
USC00462523,"DUNMORE 1 N, WV US",4/30/2023,,,,,0.5,0,0,67,47,49,
USC00462523,"DUNMORE 1 N, WV US",5/1/2023,,,,,0,0,0,60,37,38,
USC00462523,"DUNMORE 1 N, WV US",5/2/2023,,,,,0.6,0,0,46,36,37,
USC00462523,"DUNMORE 1 N, WV US",5/3/2023,,,,,0.28,0,0,47,35,36,
USC00462523,"DUNMORE 1 N, WV US",5/4/2023,,,,,0.38,0,0,45,33,38,
USC00462523,"DUNMORE 1 N, WV US",5/5/2023,,,,,0.03,0,0,54,28,30,
USC00462523,"DUNMORE 1 N, WV US",5/6/2023,,,,,0,0,0,66,29,30,
USC00462523,"DUNMORE 1 N, WV US",5/7/2023,,,,,0,0,0,75,30,38,
USC00462523,"DUNMORE 1 N, WV US",5/8/2023,,,,,0.45,0,0,66,37,53,
USC00462523,"DUNMORE 1 N, WV US",5/9/2023,,,,,0.31,0,0,76,53,53,
USC00462523,"DUNMORE 1 N, WV US",5/10/2023,,,,,0.04,0,0,69,41,41,
USC00462523,"DUNMORE 1 N, WV US",5/11/2023,,,,,0,0,0,75,37,37,
USC00462523,"DUNMORE 1 N, WV US",5/12/2023,,,,,0,0,0,79,36,41,
USC00462523,"DUNMORE 1 N, WV US",5/13/2023,,,,,0.03,0,0,76,40,54,
USC00462523,"DUNMORE 1 N, WV US",5/14/2023,,,,,0.37,0,0,73,48,50,
USC00462523,"DUNMORE 1 N, WV US",5/15/2023,,,,,0,0,0,73,46,51,
USC00462523,"DUNMORE 1 N, WV US",5/16/2023,,,,,0.02,0,0,61,51,54,
USC00462523,"DUNMORE 1 N, WV US",5/17/2023,,,,,0.11,0,0,65,45,45,
USC00462523,"DUNMORE 1 N, WV US",5/18/2023,,,,,0,0,0,66,38,41,
USC00462523,"DUNMORE 1 N, WV US",5/19/2023,,,,,0,0,0,64,41,42,
USC00462523,"DUNMORE 1 N, WV US",5/20/2023,,,,,0,0,0,69,42,51,
USC00462523,"DUNMORE 1 N, WV US",5/21/2023,,,,,0.03,0,0,71,41,41,
USC00462523,"DUNMORE 1 N, WV US",5/22/2023,,,,,0,0,0,69,37,37,
USC00462523,"DUNMORE 1 N, WV US",5/23/2023,,,,,0,0,0,72,37,38,
USC00462523,"DUNMORE 1 N, WV US",5/24/2023,,,,,0,0,0,69,35,35,
USC00462523,"DUNMORE 1 N, WV US",5/25/2023,,,,,0,0,0,75,35,41,
USC00462523,"DUNMORE 1 N, WV US",5/26/2023,,,,,0,0,0,65,31,31,
USC00462523,"DUNMORE 1 N, WV US",5/27/2023,,,,,0,0,0,69,31,32,
USC00462523,"DUNMORE 1 N, WV US",5/28/2023,,,,,0,0,0,67,32,49,
USC00462523,"DUNMORE 1 N, WV US",5/29/2023,,,,,0.03,0,0,67,49,56,
USC00462523,"DUNMORE 1 N, WV US",5/30/2023,,,,,0.02,0,0,69,53,54,
USC00462523,"DUNMORE 1 N, WV US",5/31/2023,,,,,0,0,0,73,46,46,
USC00462523,"DUNMORE 1 N, WV US",6/1/2023,,,,,0,0,0,77,45,45,
USC00462523,"DUNMORE 1 N, WV US",6/2/2023,,,,,0,0,0,79,38,38,
USC00462523,"DUNMORE 1 N, WV US",6/3/2023,,,,,0,0,0,81,38,43,
USC00462523,"DUNMORE 1 N, WV US",6/4/2023,,,,,0,0,0,82,43,58,
USC00462523,"DUNMORE 1 N, WV US",6/5/2023,,,,,0,0,0,67,51,51,
USC00462523,"DUNMORE 1 N, WV US",6/6/2023,,,,,0,0,0,73,35,35,
USC00462523,"DUNMORE 1 N, WV US",6/7/2023,,,,,0.22,0,0,70,35,51,
USC00462523,"DUNMORE 1 N, WV US",6/8/2023,,,,,0,0,0,69,33,33,
USC00462523,"DUNMORE 1 N, WV US",6/9/2023,,,,,0,0,0,67,33,35,
USC00462523,"DUNMORE 1 N, WV US",6/10/2023,,,,,0,0,0,65,34,36,
USC00462523,"DUNMORE 1 N, WV US",6/11/2023,,,,,0,0,0,78,35,42,
USC00462523,"DUNMORE 1 N, WV US",6/12/2023,,,,,0.05,0,0,75,42,60,
USC00462523,"DUNMORE 1 N, WV US",6/13/2023,,,,,0.34,0,0,65,48,48,
USC00462523,"DUNMORE 1 N, WV US",6/14/2023,,,,,0,0,0,69,45,51,
USC00462523,"DUNMORE 1 N, WV US",6/15/2023,,,,,0.04,0,0,64,44,45,
USC00462523,"DUNMORE 1 N, WV US",6/16/2023,,,,,0,0,0,74,45,48,
USC00462523,"DUNMORE 1 N, WV US",6/17/2023,,,,,0.3,0,0,71,47,52,
USC00462523,"DUNMORE 1 N, WV US",6/18/2023,,,,,0,0,0,70,40,41,
USC00462523,"DUNMORE 1 N, WV US",6/19/2023,,,,,0,0,0,68,41,46,
USC00462523,"DUNMORE 1 N, WV US",6/20/2023,,,,,0.59,0,0,77,46,59,
USC00462523,"DUNMORE 1 N, WV US",6/21/2023,,,,,0.08,0,0,66,57,60,
USC00462523,"DUNMORE 1 N, WV US",6/22/2023,,,,,0.42,0,0,62,53,53,
USC00462523,"DUNMORE 1 N, WV US",6/23/2023,,,,,0.33,0,0,62,53,57,
USC00462523,"DUNMORE 1 N, WV US",6/24/2023,,,,,0.03,0,0,78,57,60,
USC00462523,"DUNMORE 1 N, WV US",6/25/2023,,,,,0.04,0,0,72,57,57,
USC00462523,"DUNMORE 1 N, WV US",6/26/2023,,,,,0,0,0,80,54,54,
USC00462523,"DUNMORE 1 N, WV US",6/27/2023,,,,,0.09,0,0,81,54,57,
USC00462523,"DUNMORE 1 N, WV US",6/28/2023,,,,,0.08,0,0,69,57,57,
USC00462523,"DUNMORE 1 N, WV US",6/29/2023,,,,,0,0,0,71,48,51,
USC00462523,"DUNMORE 1 N, WV US",6/30/2023,,,,,0,0,0,80,51,58,
USC00462523,"DUNMORE 1 N, WV US",7/1/2023,,,,,0.01,0,0,80,58,59,
USC00462523,"DUNMORE 1 N, WV US",7/2/2023,,,,,0.06,0,0,82,58,58,
USC00462523,"DUNMORE 1 N, WV US",7/3/2023,,,,,0.11,0,0,84,58,60,
USC00462523,"DUNMORE 1 N, WV US",7/4/2023,,,,,0.27,0,0,80,60,62,
USC00462523,"DUNMORE 1 N, WV US",7/5/2023,,,,,0,0,0,78,59,59,
USC00462523,"DUNMORE 1 N, WV US",7/6/2023,,,,,0,0,0,83,59,60,
USC00462523,"DUNMORE 1 N, WV US",7/7/2023,,,,,0.18,0,0,86,60,62,
USC00462523,"DUNMORE 1 N, WV US",7/8/2023,,,,,0,0,0,82,57,58,
USC00462523,"DUNMORE 1 N, WV US",7/9/2023,,,,,0,0,0,82,58,58,
USC00462523,"DUNMORE 1 N, WV US",7/10/2023,,,,,0.7,0,0,74,58,58,
USC00462523,"DUNMORE 1 N, WV US",7/11/2023,,,,,0,0,0,75,44,44,
USC00462523,"DUNMORE 1 N, WV US",7/12/2023,,,,,0,0,0,78,44,47,
USC00462523,"DUNMORE 1 N, WV US",7/13/2023,,,,,0,0,0,83,47,51,
USC00462523,"DUNMORE 1 N, WV US",7/14/2023,,,,,0.35,0,0,79,51,61,
USC00462523,"DUNMORE 1 N, WV US",7/15/2023,,,,,0.68,0,0,72,61,62,
USC00462523,"DUNMORE 1 N, WV US",7/16/2023,,,,,0.28,0,0,82,62,65,
USC00462523,"DUNMORE 1 N, WV US",7/17/2023,,,,,0,0,0,78,55,55,
USC00462523,"DUNMORE 1 N, WV US",7/18/2023,,,,,0.1,0,0,80,55,58,
USC00462523,"DUNMORE 1 N, WV US",7/19/2023,,,,,0.15,0,0,80,57,62,
USC00462523,"DUNMORE 1 N, WV US",7/20/2023,,,,,0,0,0,76,57,59,
USC00462523,"DUNMORE 1 N, WV US",7/21/2023,,,,,0.41,0,0,82,,59,
USC00462523,"DUNMORE 1 N, WV US",7/22/2023,,,,,0.01,0,0,75,56,56,
USC00462523,"DUNMORE 1 N, WV US",7/23/2023,,,,,0,0,0,75,47,47,
USC00462523,"DUNMORE 1 N, WV US",7/24/2023,,,,,0,0,0,80,46,54,
USC00462523,"DUNMORE 1 N, WV US",7/25/2023,,,,,0,0,0,82,54,55,
USC00462523,"DUNMORE 1 N, WV US",7/26/2023,,,,,0,0,0,81,52,54,
USC00462523,"DUNMORE 1 N, WV US",7/27/2023,,,,,0,0,0,85,54,61,
USC00462523,"DUNMORE 1 N, WV US",7/28/2023,,,,,0,0,0,87,60,60,
USC00462523,"DUNMORE 1 N, WV US",7/29/2023,,,,,0.48,0,0,88,59,61,
USC00462523,"DUNMORE 1 N, WV US",7/30/2023,,,,,0,0,0,85,58,58,
USC00462523,"DUNMORE 1 N, WV US",7/31/2023,,,,,0.01,0,0,80,50,51,
USC00462523,"DUNMORE 1 N, WV US",8/1/2023,,,,,0,0,0,77,43,43,
USC00462523,"DUNMORE 1 N, WV US",8/2/2023,,,,,0,0,0,73,42,44,
USC00462523,"DUNMORE 1 N, WV US",8/3/2023,,,,,0,0,0,77,44,58,
USC00462523,"DUNMORE 1 N, WV US",8/4/2023,,,,,0.16,0,0,65,58,62,
USC00462523,"DUNMORE 1 N, WV US",8/5/2023,,,,,0,0,0,82,52,52,
USC00462523,"DUNMORE 1 N, WV US",8/6/2023,,,,,0,0,0,82,52,54,
USC00462523,"DUNMORE 1 N, WV US",8/7/2023,,,,,0.02,0,0,78,54,64,
USC00462523,"DUNMORE 1 N, WV US",8/8/2023,,,,,0.73,0,0,84,60,60,
USC00462523,"DUNMORE 1 N, WV US",8/9/2023,,,,,0,0,0,74,53,53,
USC00462523,"DUNMORE 1 N, WV US",8/10/2023,,,,,0,0,0,74,53,60,
USC00462523,"DUNMORE 1 N, WV US",8/11/2023,,,,,0.32,0,0,72,53,54,
USC00462523,"DUNMORE 1 N, WV US",8/12/2023,,,,,0,0,0,79,52,53,
USC00462523,"DUNMORE 1 N, WV US",8/13/2023,,,,,0,0,0,83,53,59,
USC00462523,"DUNMORE 1 N, WV US",8/14/2023,,,,,0,0,0,83,53,56,
USC00462523,"DUNMORE 1 N, WV US",8/15/2023,,,,,0.3,0,0,80,56,63,
USC00462523,"DUNMORE 1 N, WV US",8/16/2023,,,,,0,0,0,80,57,58,
USC00462523,"DUNMORE 1 N, WV US",8/17/2023,,,,,0,0,0,72,52,53,
USC00462523,"DUNMORE 1 N, WV US",8/18/2023,,,,,0,0,0,81,52,60,
USC00462523,"DUNMORE 1 N, WV US",8/19/2023,,,,,0,0,0,73,39,39,
USC00462523,"DUNMORE 1 N, WV US",8/20/2023,,,,,0,0,0,79,38,43,
USC00462523,"DUNMORE 1 N, WV US",8/21/2023,,,,,0,0,0,87,42,52,
USC00462523,"DUNMORE 1 N, WV US",8/22/2023,,,,,0,0,0,82,51,59,
USC00462523,"DUNMORE 1 N, WV US",8/23/2023,,,,,0,0,0,82,47,47,
USC00462523,"DUNMORE 1 N, WV US",8/24/2023,,,,,0.1,0,0,82,47,58,
USC00462523,"DUNMORE 1 N, WV US",8/25/2023,,,,,0.12,0,0,84,58,60,
USC00462523,"DUNMORE 1 N, WV US",8/26/2023,,,,,0.41,0,0,85,60,62,
USC00462523,"DUNMORE 1 N, WV US",8/27/2023,,,,,0,0,0,83,59,59,
USC00462523,"DUNMORE 1 N, WV US",8/28/2023,,,,,0.04,0,0,81,59,64,
USC00462523,"DUNMORE 1 N, WV US",8/29/2023,,,,,0.17,0,0,75,63,63,
USC00462523,"DUNMORE 1 N, WV US",8/30/2023,,,,,0.44,0,0,74,63,63,
USC00462523,"DUNMORE 1 N, WV US",8/31/2023,,,,,0,0,0,74,53,54,
USC00462523,"DUNMORE 1 N, WV US",9/1/2023,,,,,0,0,0,75,40,41,
USC00462523,"DUNMORE 1 N, WV US",9/2/2023,,,,,0,0,0,79,40,43,
USC00462523,"DUNMORE 1 N, WV US",9/3/2023,,,,,0,0,0,81,42,52,
USC00462523,"DUNMORE 1 N, WV US",9/4/2023,,,,,0,0,0,84,51,54,
USC00462523,"DUNMORE 1 N, WV US",9/5/2023,,,,,0,0,0,84,53,58,
USC00462523,"DUNMORE 1 N, WV US",9/6/2023,,,,,0,0,0,88,57,60,
USC00462523,"DUNMORE 1 N, WV US",9/7/2023,,,,,0,0,0,89,56,56,
USC00462523,"DUNMORE 1 N, WV US",9/8/2023,,,,,0.08,0,0,83,56,58,
USC00462523,"DUNMORE 1 N, WV US",9/9/2023,,,,,0.51,0,0,81,58,58,
USC00462523,"DUNMORE 1 N, WV US",9/10/2023,,,,,0.11,0,0,78,58,59,
USC00462523,"DUNMORE 1 N, WV US",9/11/2023,,,,,0.22,0,0,71,58,58,
USC00462523,"DUNMORE 1 N, WV US",9/12/2023,,,,,0,0,0,75,52,52,
USC00462523,"DUNMORE 1 N, WV US",9/13/2023,,,,,0.2,0,0,77,52,56,
USC00462523,"DUNMORE 1 N, WV US",9/14/2023,,,,,0,0,0,73,47,47,
USC00462523,"DUNMORE 1 N, WV US",9/15/2023,,,,,0,0,0,71,37,37,
USC00462523,"DUNMORE 1 N, WV US",9/16/2023,,,,,0,0,0,74,35,35,
USC00462523,"DUNMORE 1 N, WV US",9/17/2023,,,,,0.09,0,0,76,35,51,
USC00462523,"DUNMORE 1 N, WV US",9/18/2023,,,,,0.58,0,0,63,47,48,
USC00462523,"DUNMORE 1 N, WV US",9/19/2023,,,,,0.03,0,0,63,47,47,
USC00462523,"DUNMORE 1 N, WV US",9/20/2023,,,,,0,0,0,69,42,44,
USC00462523,"DUNMORE 1 N, WV US",9/21/2023,,,,,0,0,0,72,42,43,
USC00462523,"DUNMORE 1 N, WV US",9/22/2023,,,,,0,0,0,73,40,40,
USC00462523,"DUNMORE 1 N, WV US",9/23/2023,,,,,0.11,0,0,70,39,49,
USC00462523,"DUNMORE 1 N, WV US",9/24/2023,,,,,0.35,0,0,62,49,52,
USC00462523,"DUNMORE 1 N, WV US",9/25/2023,,,,,0,0,0,66,50,52,
USC00462523,"DUNMORE 1 N, WV US",9/26/2023,,,,,0,0,0,63,52,56,
USC00462523,"DUNMORE 1 N, WV US",9/27/2023,,,,,0.02,0,0,62,53,54,
USC00462523,"DUNMORE 1 N, WV US",9/28/2023,,,,,0,0,0,62,52,52,
USC00462523,"DUNMORE 1 N, WV US",9/29/2023,,,,,0,0,0,66,48,48,
USC00462523,"DUNMORE 1 N, WV US",9/30/2023,,,,,0,0,0,72,47,51,
USC00462523,"DUNMORE 1 N, WV US",10/1/2023,,,,,0,0,0,74,46,47,
USC00462523,"DUNMORE 1 N, WV US",10/2/2023,,,,,0,0,0,76,41,41,
USC00462523,"DUNMORE 1 N, WV US",10/3/2023,,,,,0,0,0,80,40,43,
USC00462523,"DUNMORE 1 N, WV US",10/4/2023,,,,,0,0,0,76,43,44,
USC00462523,"DUNMORE 1 N, WV US",10/5/2023,,,,,0,0,0,78,42,45,
USC00462523,"DUNMORE 1 N, WV US",10/6/2023,,,,,0,0,0,68,45,49,
USC00462523,"DUNMORE 1 N, WV US",10/7/2023,,,,,0.2,0,0,68,49,49,
USC00462523,"DUNMORE 1 N, WV US",10/8/2023,,,,,0,0,0,53,41,42,
USC00462523,"DUNMORE 1 N, WV US",10/9/2023,,,,,0.02,0,0,49,37,38,
USC00462523,"DUNMORE 1 N, WV US",10/10/2023,,,,,0.01,0,0,55,33,41,
