# BodyM Data
# 
# Data from:
# https://aws.amazon.com/marketplace/pp/prodview-w3762gcflmhzk#resources
# Human Body Measurement Estimation with Adversarial Augmentation
# Nataniel Ruiz, Miriam Bellver, Timo Bolkart, Ambuj Arora, Ming C. Lin, Javier Romero and Raja Bala
#
# Training hwg_metadata.csv file
subject_id,gender,height_cm,weight_kg
JNvYCjFCVizUSPlVWEiT5RvXAV3AcfPFkpa01Y_3DMQ,female,173.0,93.6
59bc275d681516389ccf41f6,female,159.5,84.5
5_6zLQOStYnD-rthclZGGQuZuVmj2UPdFX73Dt2rHjw,male,171.5,97.0
9Dd6Dz9YjZ4Ch6cyA4fFjjy4uY9HzV_CpAIbhDicJzc,female,157.5,82.9
81b1O682zPgZRAJ2Nkj2zrZRghiRj_X0lqqXC5E4GvY,male,180.0,103.1
by41W0nzxt4Gf5nAI9Z0Tn6nAkLxmqj1XMQ8thKuxHU,female,165.5,88.2
730fN81DLQtgxZ5K4FpOgJUOCAIgg9I1bVhmIXOQgmA,female,171.2,91.9
RtKCT7Vv4B2-hjY1uFTiLCA4OBe30BT7_rgFeDPrxq4,female,171.0,91.6
GZz1_lA8IKwVLSHb5fZCKDqucfDREPVT6ljopD4SUtY,female,155.1,80.9
7bFe7VxhOBSMEBgASPgM3QkOFW6-cFMHDHydK-nTdDU,female,165.65,87.95
59bc275d681516389ccf4220,female,176.0,94.8
Z-AaC65JmtFlUW8a_nGt5PiDBr-Z0WziwmuQMp0W03k,female,156.75,81.9
ViL7uZ5TDBNxeTDud_le7mx5BJATJAISdNwBe0OcDXI,male,178.5,101.5
PxsFhzWWdGKMvqMtrMiu7ToUSSZa4rcZ46ryRS8Z1ds,male,177.0,100.3
tyn9j47LY8cGgO8IP8uP1Vm5Fl6erJ8NlugiCYYaIps,female,165.75,87.75
Jyw0H54SwVNKsb4Bmt1jfwtKuvA1WClTVW8V2JOnAv4,male,179.0,101.7
-McEo6mC4tLSFy7VWC75sy6J50qMBLo79tWDcaCagVM,male,179.0,101.7
OpsAHKwX0vH2qhmJul_yqJDkZ6aEfgL7JmQXapmG43k,female,164.5,86.8
EC66JDr10U3CsiBxBcjr9yDFyJWxntX__ubLEoysNcI,male,177.0,100.0
JtJm2KmKqA6oCQqOJJKOflI2bLAHwcc6AsP8PmsTqfo,female,168.0,89.0
rnCbgkcKJEpmQCBF_ZhCFcTMWiXF7AL4txLtprZ-rS8,male,168.5,93.6
DAidIHQc5eh1Eo_4g2j6WhWGPXqGaWU050M3TAJKsOo,female,161.85,84.8
59bc275c681516389ccf41bc,female,173.7,92.6
jfI-wKSa1Vzx_qrubhAmxjuohcN_Jm7qnmOgg8Bfz5Y,male,177.0,99.5
RImghWGquKp-Ol8otUz5nMKMoeJEmd9skki_80D5NXI,male,192.5,110.8
yq5Scc358deZ0smPM5s1QdKaSGCVrRPCoBDb5d7lRiQ,male,190.0,108.9
59bc2767681516389ccf45da,male,175.25,97.85
pK4RpWfdiM4ahJRpUMBX0C1RAg8HoB1Q9L2SO13tW4I,male,179.0,100.6
cx7H9JmRginjnpfFsEmrbkaeORyIyI6HnIfHMHDqKKY,female,159.6,82.5
xiIlFtub_tYSYAbklHkKFncM7qOhs6GkeRP1ftvw8h4,male,181.9,102.7
lYnZlP0DOfYTeYfFIaR6gxDDuamKtDqT6LX0fHjC8bk,male,187.0,106.4
znrHG0kR6ihoDtVJ3hKtsEv7efH8IcFOYL5va2Qqkv4,male,180.0,101.1
X3IgwE33Fglksdvp53AKTMnTL1txWK09MjhB-g_tOA8,female,171.0,89.9
Qft8SrjkyOiUJE2WWGWi5qioxAL6RfK9cpCKkzYBGtU,male,171.0,94.3
9yDE38ljye2XhcQc38xggbv64HwXDSbDkh5bb3lMNkU,female,164.4,28.7
f9px04DYsdWpsWM-8X31bHjQKI1s7OU3IzYqUACuGrE,male,174.45,96.75
59bc2758681516389ccf4077,female,167.95,87.45
qVgPlaShYxE8kMc1gKBzUkgjkKwH67HD-I489HIo_Is,male,162.0,87.2
YUkWClmyzjpdyT2OoHUfL6OAWqCImFUUrQfyN4YUNJ8,male,183.0,102.9
nZUlJ3oSfVH51kquU28D-F9NwL3UjnLsxtsY2y6qXts,female,164.5,84.9
ZfXnpj9JymrEXySC2mXmPwiAf6u_Vlmu260kJ2iI5Bc,female,155.5,78.8
7qSpZjKddWTjcy_CH8tt0D_FzCZX7aNGIKlkfPeIOFE,male,175.0,96.4
Kr1whZRnyXXBfX2Qb68APhgjTqQOJoNCbyiyp8KjOUM,male,167.0,90.4
UwnIrAKE3fgYAZAsGCbzm-2v2HpGfkO_9oQWLkH4X8E,male,172.5,94.5
uc-v1U8HMj6nz2aVav24MAHM1D6plrOqyrGqpU7EfTs,female,176.1,92.2
5a1f2d379f17b800040cc7cc,male,176.55,97.35
NeEHJxFxG632zWy6Ar6Jyr7TNtJglor-PW8tlqoHAPs,male,172.2,93.8
QiAADJFrx4hH-ORJ7WLmTlPpW1IS1vQ19Paf_BEVYPE,male,177.55,97.8
DDliBRlYFBCyG-UjlAVLiDG4nvRl8nodOUOtLxfu5Us,female,162.0,82.3
jj-ymAlKRw4gwssTUjghlxgUc4OSZPQuaAgrGKJGcQA,female,168.0,86.3
vnohRvRete12wDp7zCI0rTWOjQO1NU48ZzyOXpEI_uk,male,184.0,102.4
SEmnk4jlSmg3QtnZMtmBa-LkBg--17VtCby5OBK99YY,male,183.5,102.0
oWFBFFV2dtIyJFBBpNkjkPQ5nQBChrUWbW6wxMrxYWE,female,158.7,79.9
DYJR9xAeblKG6aQwKXKaxyK5toR1c9ih8lq8cztV52k,male,180.1,99.4
0wvZ5ZeHgraG0oQGr38yR75PmIG9-hXYnUWW0uJqWtE,female,165.0,84.0
-60o95b9oEE83BDV3GpsAVPA4TFvxuPPqtXEY5PApy8,male,166.0,88.7
WvGQBBNpSe532EEM3AMJdoxUoTyST19JL_SBR2urNRk,female,163.5,82.9
BUhmNtrPKv9T-5hUVF14PuEsoSx0VEobiP4M-T7dqow,male,186.0,103.6
P2napCkrkVITcwLhUfdanIOl4ysctsqjd_4DRNa4dus,female,165.0,83.8
7R6m49IITGG-lT_EavoGCfcnOBAx1QPM16fpE-f9iSc,male,161.5,85.1
PTlHUsHV7o9UT252M5WVnZ4UHD70AB2ki2h3-WTeFBg,male,170.0,91.45
GbOk4JbzF5zpkg24rqvg_gA8BAMUKFen4zBSFPCcQVs,female,176.5,91.4
WHDczZcoVMaf0R3uyGmU6rQO3uolcyFIWaeQJxgLVVI,male,179.0,98.1
Q1mrhkvdeveFY2PVxxtCrR57IGVzOJsBhBJqR3bVL8c,male,195.0,109.9
8WXn9BpS3RqbAo1DOnJlmkCCTLNop6r05u16nWlYo4Y,male,181.8,100.0
78aFkOzy-pjbj9lmsp4uyrbotokRlchqTKpxs3K6npU,female,172.2,88.1
atGuTnEF7KvrxEVHkLzFTY7gdAZ36gghFPcJHudLqXI,male,184.5,101.8
vtUetlQRnFggW0gU19iG8wdTL-KlWikPJFIEMbsIWvw,male,160.5,83.7
QW2Nv2ELci-jrh1F22pctTT58FcUFls-aiIrbIm5Usg,male,168.0,89.3
LqwmZFz9Zs0XAy0zY8sJEZuwuRFvikqWWqAZangX8fw,female,167.0,84.4
2vMs6p-qIdIw0mTEz5emgZpxICq3glcfyQM3vwB3vBo,male,185.0,102.0
TPEFC770c-_JCFBm69zaW6mwzy_cDoLe7CouTJkeK54,male,181.0,99.0
0rGJdyxMb1htbhTkMtbdeGGj8aPapDY8PlclNf3Ofy0,female,160.9,80.15
K9zkdznI6sNRQAbGZyM9qavlSHz1QjDc4YT_Nk9SxNc,male,178.5,96.9
4gXQA7YvC9wjEAkjxtjYg_1zS4JZ6WaJLbs3nQKKfnY,female,161.1,80.1
s_KuB0FTrJowaJCSsCAvl-4zKP_oPTv3VjKQlyXI1z4,female,162.4,80.95
7ouRXI3yMEy6fO53qEjL7WsQ1BatKfqA7D5NfWi6X-4,male,179.5,97.35
6EyWCpcE3wKknntg3-9XIpMMwmkrwqTKbaVc2t38YfI,male,174.5,93.6
gFblhzof-gC7PAXXnQ-foacnYnSX9YdOYVOS3h2Anwo,female,161.5,80.1
59bc2764681516389ccf449b,female,168.15,84.5
3ksASfe4f_APd1tLxccDtth3VbpJ9SgIcz5vPw7Y1os,female,165.5,82.7
3A5Rcv9or0IWuBb1I_iDlORBsIfkkhLI1j8QK5uP6AE,male,165.0,86.3
FIKdwgnu8NHVkxHD8cCqOboG8gQmA_Ere1JE40CnfLs,male,187.0,102.7
NTmudVTq3KXZsMxKbzh7FZ_Cwidx_LNAFffrMFwhizk,female,147.5,73.8
59bc275a681516389ccf40bd,male,191.4,105.95
AmedggJX7Rhsxnnl44fPJ5Tj4zIapmO_nJ_gIV3nHlY,male,183.5,100.0
59bc275b681516389ccf4111,female,146.2,73.7
W2KMv_S0_4Hsm2X-rx_6MSBFcpHEivib5C4E4eOnBzY,female,165.0,82.1
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,female,158.0,77.4
ExHvSn3DH-iqPCP5yp0dHLvKzR9chhSsrs-V5Nztrso,male,175.55,93.8
fP5sarrUu7-n8UtbrC-v1DK-c3H4Qpp9iDDoM1SxyTs,male,179.5,96.7
QN6awL28K1oOGTfvrs6JaebgAll0DiBRUmVZiVuZx2k,female,160.0,78.5
k1hi20BJAqls5jIB-NeHd2OqMOb27kUQyoZbB18qx80,male,176.2,94.2
Ucf-qtgMeZvQRaFlibfSZjYzSkrIPBEgBsCjvwrpYtY,male,186.5,101.8
GHBbDwaAvfvXX3XyEWZg2vpCJQyH6_xgMKorwr3v_nA,male,184.0,99.8
4d_X7JZm0gneZC8ffiFtMDo1I7gKKmN0V0ER7YrB8pI,female,160.0,78.1
BIgqCAZI0sAs9l6VoYb7f5DEalgi2C2UbnCcl6iXX0U,female,162.0,79.4
Xvtc1yn6vhpXIvF6FClUiuuE0lTTIgw6qR807od8xgo,male,172.0,90.6
Bwo4aB1FVh_V5rDzT7D64XUtIYW0ZjOAy6k67FYdICY,female,164.4,80.9
59bc2762681516389ccf440f,female,161.5,78.95
VchxmPjbff2Q9NFkNAM-ZcomUss3G4RYAwc_pryTIQw,male,173.5,91.6
OLBWnedUwa0ARUg1ZVSXNvBuk5yLHZrgyB84RGKdYeA,male,190.5,104.3
X1GE1aJVNlCd0S4_q8lq1f_3U6W6FV4dxxMBZiAZ_No,male,184.5,99.8
tnGB-cg-_pSmt7YQ3y3GNnX1smqoOnZBoYvHhIxFHQQ,male,180.5,96.8
f62_eizzmbPnIL3GPy72UA4uhPHb4b8eMwfg3-BDTbQ,male,176.25,93.55
Wkfwp2rGuRysmKYmeIPaCQ8oChBz3aE-R4ywK6Uczys,male,178.5,95.2
59bc275e681516389ccf424f,female,175.0,87.8
29NvYTuuEKc1Xrym-L_6TZM91S72J5H3G45mDsFXTnc,male,179.55,95.95
wF2Klo0rth7qh_o1oCnMTyv4ApfQTKluNJS2gQqqtFs,male,168.75,87.85
9u-vaMTZFzgzBDbB_7W0DzM9IUpAxQey33Uwvjo7q8Y,male,182.5,98.1
COXJIiTpnij6N8KobXwfdCeZ5CD68fv3_F0mp3SYlZE,male,179.5,95.75
8VeEyDejvLRbA8-2IJk8xZ0uZrL4FJqtOqtMOVHwCtA,male,187.5,101.7
bePP8GwB1nKVlVvjZvSDz-7IT8NHanHkLYuCqETpods,male,177.5,94.2
UQ2GM1XaDd8CXhISjirrgITujA48e9-JNBkpT5crPkM,female,165.75,81.35
jZ_TZuGXQhSV1FrFbgIjHBb-F2ze5pZQTjaO46_PZDI,female,161.5,78.5
peqbN0eHFV0JIsHpIDwxcN9iRKDbQRyZj8Z9LX12cO0,male,169.5,88.1
VdlO5OvevKp6LkWjHyDKuTOZ2LTdcB0a8yigC5evDjA,female,177.5,89.1
9M8tILHpx5CTackWNzCIbIj0IJjBSpN7nG0btn5QAoc,female,162.0,78.7
INqS66tGbCRyqtCOklRuhFR-Keg4LlajZfujjvCwH0Y,male,166.5,85.8
UAE7Hyh70ooJw9sM-KQdlQNz7alojnEAxsOlpFU-UcU,female,162.0,78.5
7ZYlxTERmHBIDp2DG-eUiSEMowbgMvn47rv5cU-lKMs,female,163.5,79.5
WQCNmdegEjLJopGh4wnLhlB59ODC54Nioo42UEKXxSY,female,158.65,76.2
Bc22uCvw7uMHbGioIywFoiqXPBu9_05dz9ptmmuPUaU,male,176.4,92.95
WI1vl-ZFYxHye2KnzTcSJtBF-i2LXmzx5-qrdr8NSsY,female,180.5,90.8
hiJRhc9sOlslmIb-Rp3XAguhcRYFpTGuTvMD6JvjDaI,male,171.4,89.2
NeyszvHjJ3aJ--cxUOQR12-MFqZA82Uityzo5zWJNRM,female,167.0,35.8
4Hy_wkLsPiPHDJIuoAkXO_OdyS0NzY45rDyfxVNtgis,male,177.95,94.05
nJFMmSoZs5Zs5-RgDcZZn8YTMctB5tHfa-q-Xv1CEaw,male,183.0,97.8
oz15nKHCHoQdBfn6TI7s2hgG__qe6NVVjwNYEKf8uLU,female,153.9,72.9
WrxffaQ938YfkO0xe9HgpYw8Y-mhYejMi3zzX9cNO30,male,178.5,94.4
H6vKec4GaaQYS0-AGcGjN9l6XyTruuvrcUjUDHxowNQ,male,191.0,103.7
1BrP3UbGJXblnMCCmaNTIbGGRJ6SqexqQoEqqFU6z_M,male,176.5,92.8
IsQFJLfyQDwpkDNLiJ6IBIwizzxKW3YAzl_4qgPap3M,female,165.0,80.2
t9Z1V2IlcVb9SWtnnR1JSTL06q7FCxEuYMrMETTOcyo,male,180.0,95.4
nMxtSMqdaQ8vFXyyv3RjKPaq6_NYNtochvAYm1MyzrM,male,196.0,107.3
5GI5rJ8Hsq8qZ9edr6qcA9cgwNzJmx0PAGxzpZFx3cA,male,175.7,92.1
nvr64DIUTZJbg86q3FJTr-oLxmPJ55Cm24d-XIPwzyY,male,188.0,101.3
_HX6htU4qfGZb8nNmz4VckuRaH9YVs9bq5JFo89yV2k,male,178.0,93.8
f-Kbe4rli-4P_CBF1ZG6rJ6QAHJ-Sx811nCShZKP28k,male,187.0,100.4
pcSg5EC6_9nB-gF5hay8T1OenZX3-08HESOONNxdlFE,male,173.9,90.6
7tMJnQwy8GllyZBOCK9-GSEBJVNATL2kTlOonwK_p1Y,male,167.5,85.8
uicBrPyYRi1_A7BeIUg6-tDnn2xFKcLQ1QNKXW341-M,female,165.0,79.9
MVP0z6Ij0LwHU-_FCzaVhOsRr9_OCwlc9ElSSK2vwAI,male,172.7,89.6
hsBaJx117F-ZlugN6j5r1xKiwRRVFk4hvIgx1MxylpE,male,173.0,89.8
C2_TbTQS8mt1iDuch-2UdIl07Aw7vZ9jqRFmU-5u0Ns,female,164.3,79.3
XeDRaHj5d6BauYMYPwEltTG_rY04QrkDj7AP0WuqOzA,male,176.55,92.35
XbtZkUysOe4F1PjI7R9xyAdu6z40H9L4h_UzcOjimXw,male,170.5,87.8
yB7E9wkbObCx2IbnItNECZraH370SZGu-Xm4n-hpxB0,male,175.0,91.1
qep3n84aaCKasBgO2BeR31QM8ZpVgzLqezLOAO_k3tU,female,173.8,85.5
hE7KFBMgARfu6_0zBBt6QDRaF1pKI0Gp4kzm2RGlICI,male,187.9,100.7
59bc276b681516389ccf4751,female,164.0,78.9
dcIPWB3L2cJm56L4j2ZV2B3eoHu1erjLcYjtxT9DcIE,male,179.5,94.4
ZG-ukcsU--7WfpbWk9E54gMvxvEt0zSUy_EQB3Lsivk,female,156.55,73.9
E7yXJPyBXY7qQ6ec2BR24Qp7P46IzFTodv9yt3RDrfc,male,171.5,88.4
vgF_c42OznlpdGNkmuL10jZlnGamSbMLTtCRMA90hOY,male,164.8,83.3
Zd4gM5Soy9BQMXPyqeH-bbSV_Tl-RAfVSEui_pDGfeU,male,168.7,86.2
Q0xb8LF0NL5XCdHFaoOj5XHT0p5Do8Ei9-IDRuNYOd4,male,180.0,94.6
hjX3l7ri3GYLUjX_BG6mAdOGDvG6fEUEKHDOeqbPUZI,male,179.5,94.2
hAjtL0vRWlY3-AgvjiphhV__7HHDECKI5J7E35ypAPc,male,175.25,90.95
VN8XgNOE24ghLuTPTSjPZfsE2oAJaUvwNmHUCehe7EY,female,164.0,78.6
E_mYXtWu7JBX9zqu-TJrEMuu0IQFJ1HzYLTHZfjypw8,male,176.4,91.7
6Nc20Wz9HQROL19rBmr93rQxjI53A_JPLrawfGg44Co,male,179.5,94.0
59bc2764681516389ccf44e2,female,165.4,79.4
VyPaujzgH47Au8wX0TP8Dhzpn2eD-6nt0au_A0ilpd0,male,177.0,92.1
59bc2766681516389ccf4599,male,174.0,89.6
nICeaDBtO_qgPeDvXMpKKieTd16GzfPSMb50AhP5828,female,164.2,78.3
rbqXSO8r3ptq7WprPA1JX6__MhYsUVsfts58LQjoBfk,female,158.0,74.1
T9eqjcfGhH1yU4l5GYiDDm7Psqkghqz0Ijd4Ycsdgdo,male,177.0,91.7
MFV5XDGBbcmrL2_oAiUxMEUXndPT6vSThBnnjr7q6A4,male,175.0,90.2
w4QLak14sViFntYhExx0tM4wy1u7Gp2VWqSbHOgO_Zc,female,174.0,84.6
HrCRAtTKdSCNMXrG7sGjzCQ5_nS9YCfhonwOpx-gYLA,male,183.5,96.4
GU8lJ9LgrxgM63ZPI7aLxUPqFtBQV0GCwrBbd-Q9alc,male,167.2,84.2
OSK2OpdvdiHXzX-5IyZVXyqrqIC4TbkGTeUWo2A55jY,female,184.5,91.6
hHL5Lxcqd34jCxO2g45S16J3J9dqVWxJmM5B0HEmULE,female,164.2,78.0
Y-AXGeJT2vKhNAbxii5kPW-HYR5ETEUi-8ER8qr8u8U,male,167.0,84.0
DchX-kL5Vq9LfgQfd4f5iRmcJVFniRcRtBPpfv5dEaY,male,172.0,87.7
tQIti8gz6zcsHCpM00XkYvmMoKu0psXq-m-vSKBiUjw,male,179.9,93.6
POrRNKsiJroy26MF_45GMYIj9GSQYqT1FHIh9ZmkcQI,male,190.0,101.1
lBh94k4B_fpqFfHMS_pw_1jthlieAw2E4LfK4UlD1tM,male,183.25,96.05
CeXq-ry7CgdV9VOSUTe1DxFlckss7pOQS1t__UWRib4,male,185.5,97.7
MA9HrkF2LuEC3BSWoQa0ehE1w5CWO0N-ENo7aXTpM0g,male,169.2,85.5
0qRH3UAnRSlRrPNxpd94zBYVRZViXIJ98JiQOkF9TOY,female,161.0,75.6
Td4mIqilWGsvkJvnFS4iNgYNa1DPtYC1niRK-azjLvE,male,182.0,94.9
HMwsrG2Hh4AHrLBd0NDL1ZXgEInQRxQGiN2RnT5c2n4,male,180.0,93.4
pdXpp5PYFQJ7GLK53JO7ASvIMtofhcr8LJNqMCS4YWo,female,166.0,78.8
ArCTyEI49rEdplfHwC9S0HuE3rvR4bllQp_3-wQldR8,male,173.0,88.1
Tmr6CYfbPz6eFTe9n_GhgP1TyZ9sCQryAXkgPFrO1J8,female,156.2,72.2
2XxoxDTOvtuoTIbSfRRHmzG621PArvFXEGQw7eLhTKA,female,158.0,73.4
0SyJzPv40sIj4x5bnMVcWLCvMAdjzQIzdn4_rUMwJ8o,male,175.5,89.85
YcxwHCr2YlJ9tIzVXoGqQiwAelfG9ffDLwbxkcNxA0c,male,170.9,86.4
EPzw1EmMy4-2WqBb_LB-GwiPzhsgyqRtkH3DpJl0O7U,male,171.0,86.4
9LL3l-OUpvVhNF3R6QYQyT3CuHu-MCC6p3xNFk8r0eo,male,191.0,101.25
mCSg7N-JBEONi5Nx2883EbRygYErTNtcAgsroNR3-hg,male,180.75,93.55
q8H1M2ZEMD0L5qVG6bYCYULEM9nJ1AnGfSwVD3ZHqzY,female,155.55,71.45
gB-Pgucmml-LBU6kRRKUxrgaAFk2wWj2sgnJyRl8QZg,male,172.55,87.4
TYHuMlCy8XKYKTcIHJLBnTlXFuvAqSJY2ASuQMrN3s4,male,173.5,88.0
